	ECO Code	Name	Opening Moves
434	E34	Nimzo-Indian, Classical, Noa Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 d5
435	E35	Nimzo-Indian, Classical, Noa Variation, 5.cd ed	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 d5 5. cxd5 exd5
436	E36	Nimzo-Indian, Classical	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 d5 5. a3
437	E37	Nimzo-Indian, Classical	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 d5 5. a3 Bxc3+ 6. Qxc3 Ne4 7. Qc2
438	E38	Nimzo-Indian, Classical, 4...c5	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 c5
439	E39	Nimzo-Indian, Classical, Pirc Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 c5 5. dxc5 O-O
440	E40	Nimzo-Indian, 4.e3	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3
441	E41	Nimzo-Indian	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 c5
442	E42	Nimzo-Indian, 4.e3 c5, 5.Ne2 (Rubinstein)	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 c5 5. Ne2
443	E43	Nimzo-Indian, Fischer Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 b6
444	E44	Nimzo-Indian, Fischer Variation, 5.Ne2	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 b6 5. Ne2
445	E45	Nimzo-Indian, 4.e3, Bronstein (Byrne) Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 b6 5. Ne2 Ba6
446	E46	Nimzo-Indian	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O
447	E47	Nimzo-Indian, 4.e3 O-O 5.Bd3	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Bd3
448	E48	Nimzo-Indian, 4.e3 O-O 5.Bd3 d5	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Bd3 d5
449	E49	Nimzo-Indian, 4.e3, Botvinnik System	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Bd3 d5 6. a3 Bxc3+ 7. bxc3
450	E50	Nimzo-Indian, 4.e3 O-O 5.Nf3, without ...d5	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3
451	E51	Nimzo-Indian, 4.e3	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3 d5
452	E52	Nimzo-Indian, 4.e3, Main line with ...b6	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3 d5 6. Bd3 b6
453	E53	Nimzo-Indian, 4.e3	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3 d5 6. Bd3 c5
454	E54	Nimzo-Indian, 4.e3, Gligoric System	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3 d5 6. Bd3 c5 7. O-O dxc4 8. Bxc4
455	E55	Nimzo-Indian, 4.e3, Gligoric System, Bronstein Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3 d5 6. Bd3 c5 7. O-O dxc4 8. Bxc4 Nbd7
456	E56	Nimzo-Indian, 4.e3, Main line with 7...Nc6	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3 d5 6. Bd3 c5 7. O-O Nc6
457	E57	Nimzo-Indian, 4.e3, Main line with 8...dc and 9...cd	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3 d5 6. Bd3 c5 7. O-O Nc6 8. a3 dxc4 9. Bxc4
458	E58	Nimzo-Indian, 4.e3, Main line with 8...Bxc3	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3 d5 6. Bd3 c5 7. O-O Nc6 8. a3 Bxc3 9. bxc3
459	E59	Nimzo-Indian, 4.e3, Main line	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3 d5 6. Bd3 c5 7. O-O Nc6 8. a3 Bxc3 9. bxc3 dxc4 10 Bxc4
460	E60	King's Indian Defense	1. d4 Nf6 2. c4 g6
461	E61	King's Indian	1. d4 Nf6 2. c4 g6 3. Nc3
462	E62	King's Indian, Fianchetto	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 d6 5. g3
463	E63	King's Indian, Fianchetto, Panno Variation	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 d6 5. g3 O-O 6. Bg2 Nc6 7. O-O a6
464	E64	King's Indian, Fianchetto, Yugoslav System	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 d6 5. g3 O-O 6. Bg2 c5
465	E65	King's Indian, Fianchetto, Yugoslav, 7.O-O	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 d6 5. g3 O-O 6. Bg2 c5 7. O-O
466	E66	King's Indian, Fianchetto, Yugoslav Panno	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 d6 5. g3 O-O 6. Bg2 c5 7. O-O Nc6 8. d5
467	E67	King's Indian, Fianchetto	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 d6 5. g3 O-O 6. Bg2 Nbd7
468	E68	King's Indian, Fianchetto, Classical Variation, 8.e4	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 d6 5. g3 O-O 6. Bg2 Nbd7 7. O-O e5 8. e4
469	E69	King's Indian, Fianchetto, Classical Main line	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 d6 5. g3 O-O 6. Bg2 Nbd7 7. O-O e5 8. e4 c6 9. h3
470	E70	King's Indian	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4
471	E71	King's Indian, Makagonov System (5.h3)	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. h3
472	E72	King's Indian	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. g3
473	E73	King's Indian	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Be2
474	E74	King's Indian, Averbakh, 6...c5	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Be2 O-O 6. Bg5 c5
